Hs(m),Tm(s)
0.47,4.47
0.45,4.49
0.43,4.49
0.42,4.49
0.4,4.47
0.38,4.43
0.36,4.37
0.35,4.26
0.34,3.93
0.33,3.1
0.38,2.01
0.4,2.35
0.41,2.39
0.41,2.38
0.41,2.38
0.41,2.39
0.41,2.41
0.4,2.43
0.4,2.46
0.38,2.49
0.37,2.5
0.36,2.5
0.35,2.49
0.33,2.47
0.32,2.49
0.31,2.56
0.3,2.66
0.29,2.78
0.29,2.91
0.29,3.03
0.3,3.15
0.31,3.26
0.31,3.36
0.31,3.44
0.31,3.5
0.3,3.54
0.29,3.53
0.28,3.37
0.28,2.9
0.29,2.18
0.43,1.85
0.41,2.17
0.41,2.18
0.44,2.17
0.49,2.2
0.55,2.27
0.59,2.36
0.61,2.45
0.63,2.55
0.68,2.64
0.74,2.74
0.81,2.85
0.86,2.97
0.9,3.06
0.91,3.11
0.91,3.13
0.9,3.16
0.91,3.19
0.92,3.23
0.93,3.26
0.93,3.23
0.91,3.21
0.9,3.21
0.89,3.22
0.89,3.26
0.92,3.3
0.96,3.35
1.01,3.4
1.04,3.44
1.06,3.43
1.04,3.36
1.01,3.3
0.98,3.33
0.94,3.37
0.92,3.4
0.9,3.4
0.88,3.37
0.87,3.32
0.86,3.29
0.85,3.28
0.85,3.28
0.84,3.26
0.84,3.24
0.83,3.21
0.84,3.22
0.85,3.26
0.89,3.27
0.93,3.29
0.95,3.27
0.94,3.23
0.93,3.22
1.04,3.19
1.32,3.39
1.61,3.69
1.83,3.96
1.96,4.13
2,4.23
2.01,4.27
1.98,4.29
1.92,4.29
1.84,4.26
1.76,4.22
1.71,4.24
1.71,4.32
1.64,4.26
1.53,4.16
1.42,4.18
1.35,4.27
1.35,4.45
1.39,4.69
1.4,4.83
1.37,4.83
1.29,4.74
1.21,4.65
1.12,4.58
1.04,4.56
0.96,4.58
0.89,4.62
0.82,4.62
0.76,4.44
0.72,3.99
0.69,3.28
0.65,3.29
0.62,3.29
0.59,3.26
0.56,3.23
0.53,3.17
0.52,3.06
0.52,2.86
0.55,2.65
0.6,2.53
0.64,2.53
0.67,2.54
0.69,2.58
0.69,2.65
0.69,2.66
0.68,2.66
0.67,2.64
0.66,2.64
0.67,2.64
0.68,2.66
0.69,2.68
0.7,2.71
0.71,2.74
0.71,2.76
0.68,2.73
0.63,2.62
0.59,2.53
0.56,2.47
0.54,2.42
0.53,2.39
0.51,2.4
0.48,2.47
0.46,2.56
0.46,2.7
0.47,2.79
0.45,2.81
0.42,2.77
0.39,2.7
0.35,2.59
0.33,2.42
0.32,2.19
0.36,2.1
0.53,2.35
0.79,2.67
1.01,3
1.18,3.25
1.3,3.49
1.4,3.71
1.49,3.88
1.59,4.07
1.72,4.24
1.82,4.37
1.89,4.43
1.94,4.45
1.94,4.46
1.9,4.44
1.84,4.38
1.76,4.3
1.67,4.19
1.6,4.09
1.54,4.01
1.5,3.94
1.49,3.82
1.51,3.72
1.62,3.68
1.83,3.79
2.12,4.06
2.4,4.35
2.59,4.58
2.71,4.74
2.78,4.83
2.78,4.88
2.73,4.9
2.65,4.88
2.55,4.83
2.48,4.77
2.44,4.73
2.42,4.71
2.41,4.69
2.4,4.69
2.42,4.7
2.44,4.72
2.47,4.76
2.47,4.78
2.45,4.79
2.43,4.76
2.44,4.72
2.52,4.72
2.63,4.77
2.78,4.84
2.9,4.93
2.94,5.01
2.89,5.02
2.8,4.98
2.7,4.92
2.59,4.86
2.49,4.79
2.41,4.72
2.34,4.67
2.3,4.62
2.31,4.62
2.35,4.68
2.35,4.68
2.33,4.62
2.31,4.58
2.32,4.56
2.36,4.58
2.4,4.62
2.43,4.68
2.45,4.76
2.48,4.87
2.55,5.01
2.67,5.21
2.81,5.39
2.92,5.5
2.99,5.55
3.03,5.54
3.04,5.52
3.03,5.52
3.02,5.53
3.01,5.55
2.99,5.56
2.94,5.57
2.87,5.56
2.78,5.51
2.67,5.44
2.56,5.35
2.46,5.25
2.38,5.16
2.32,5.07
2.26,5
2.21,4.95
2.17,4.91
2.12,4.88
2.07,4.85
2,4.78
1.92,4.7
1.85,4.61
1.79,4.59
1.76,4.58
1.76,4.65
1.77,4.77
1.75,4.83
1.71,4.8
1.67,4.72
1.63,4.64
1.59,4.57
1.54,4.56
1.49,4.58
1.42,4.6
1.35,4.59
1.28,4.55
1.21,4.52
1.16,4.51
1.13,4.53
1.12,4.58
1.14,4.67
1.18,4.81
1.25,5.01
1.33,5.19
1.41,5.31
1.46,5.34
1.48,5.34
1.47,5.33
1.45,5.29
1.43,5.23
1.41,5.15
1.39,5.06
1.38,4.99
1.38,4.9
1.37,4.78
1.37,4.67
1.37,4.58
1.38,4.53
1.39,4.5
1.41,4.51
1.43,4.53
1.46,4.55
1.48,4.57
1.5,4.58
1.5,4.58
1.5,4.55
1.49,4.56
1.49,4.51
1.49,4.48
1.49,4.46
1.5,4.46
1.52,4.46
1.55,4.46
1.59,4.46
1.62,4.47
1.63,4.48
1.64,4.47
1.62,4.43
1.58,4.37
1.54,4.31
1.5,4.25
1.47,4.24
1.46,4.24
1.44,4.24
1.43,4.27
1.43,4.31
1.43,4.31
1.42,4.33
1.4,4.37
1.37,4.39
1.34,4.37
1.29,4.36
1.24,4.37
1.19,4.38
1.14,4.4
1.09,4.43
1.04,4.45
0.99,4.48
0.95,4.51
0.91,4.52
0.87,4.53
0.85,4.46
0.83,4.25
0.82,4.11
0.82,4.03
0.82,3.9
0.82,3.74
0.83,3.62
0.83,3.54
0.82,3.49
0.79,3.47
0.76,3.47
0.73,3.49
0.69,3.55
0.65,3.62
0.61,3.7
0.56,3.75
0.52,3.72
0.47,3.49
0.43,3.03
0.42,2.33
0.43,2.42
0.44,2.41
0.46,2.33
0.48,2.34
0.48,2.36
0.47,2.37
0.44,2.37
0.41,2.36
0.38,2.35
0.36,2.34
0.34,2.34
0.33,2.39
0.32,2.5
0.33,2.65
0.34,2.8
0.34,2.88
0.35,2.8
0.37,2.5
0.39,2.38
0.41,2.38
0.43,2.34
0.46,2.32
0.5,2.35
0.52,2.39
0.53,2.45
0.54,2.54
0.54,2.63
0.55,2.73
0.55,2.83
0.55,2.94
0.55,3.04
0.57,3.17
0.59,3.29
0.61,3.37
0.61,3.41
0.61,3.39
0.6,3.35
0.61,3.33
0.61,3.29
0.61,3.2
0.61,3.08
0.61,2.97
