date,P
1/11/99,0
2/11/99,0
3/11/99,0
4/11/99,0
5/11/99,0
6/11/99,0
7/11/99,0
8/11/99,0
9/11/99,0
10/11/99,1.4
11/11/99,8.8
12/11/99,4.8
13/11/1999,0
14/11/1999,0.4
15/11/1999,1.4
16/11/1999,0
17/11/1999,0
18/11/1999,0
19/11/1999,0
20/11/1999,0
21/11/1999,0
22/11/1999,0
23/11/1999,0
24/11/1999,0
25/11/1999,0
26/11/1999,0
27/11/1999,0
28/11/1999,0
29/11/1999,0.2
30/11/1999,0
1/12/99,0
2/12/99,0
3/12/99,0
4/12/99,3.8
5/12/99,0
6/12/99,0
7/12/99,0
8/12/99,0
9/12/99,0
10/12/99,0
11/12/99,0
12/12/99,0
13/12/1999,0
14/12/1999,0
15/12/1999,0.6
16/12/1999,0
17/12/1999,0
18/12/1999,0
19/12/1999,0.6
20/12/1999,0
21/12/1999,0
22/12/1999,0
23/12/1999,0
24/12/1999,0
25/12/1999,0
26/12/1999,0
27/12/1999,0
28/12/1999,0
29/12/1999,9.4
30/12/1999,0.4
31/12/1999,0
1/1/00,0
2/1/00,0.2
3/1/00,0
4/1/00,0
5/1/00,0
6/1/00,0
7/1/00,0
8/1/00,0
9/1/00,0
10/1/00,3.6
11/1/00,0
12/1/00,0
13/01/2000,0
14/01/2000,11.6
15/01/2000,6
16/01/2000,6
17/01/2000,0
18/01/2000,0
19/01/2000,0
20/01/2000,0.4
21/01/2000,0
22/01/2000,0
23/01/2000,0
24/01/2000,0
25/01/2000,0
26/01/2000,0.6
27/01/2000,0
28/01/2000,0
29/01/2000,0
30/01/2000,0
31/01/2000,0
1/2/00,0
2/2/00,0
3/2/00,0
4/2/00,0
5/2/00,0
6/2/00,0
7/2/00,0
8/2/00,0
9/2/00,0
10/2/00,0
11/2/00,0
12/2/00,0
13/02/2000,0
14/02/2000,0
15/02/2000,0
16/02/2000,0
17/02/2000,0
18/02/2000,0
19/02/2000,0
20/02/2000,0
21/02/2000,0
22/02/2000,0
23/02/2000,0
24/02/2000,0
25/02/2000,0
26/02/2000,0
27/02/2000,0
28/02/2000,0
29/02/2000,0
1/3/00,0
2/3/00,0
3/3/00,0
4/3/00,0
5/3/00,0
6/3/00,0
7/3/00,0
8/3/00,0
9/3/00,0.2
10/3/00,0
11/3/00,0
12/3/00,0
13/03/2000,0
14/03/2000,0
15/03/2000,0
16/03/2000,0
17/03/2000,0
18/03/2000,0
19/03/2000,1.8
20/03/2000,16.4
21/03/2000,3.6
22/03/2000,1
23/03/2000,0.6
24/03/2000,0
25/03/2000,0
26/03/2000,0
27/03/2000,0
28/03/2000,3.2
29/03/2000,0
30/03/2000,0.2
31/03/2000,0
1/4/00,0
2/4/00,1.6
3/4/00,0
4/4/00,0
5/4/00,0
6/4/00,0
7/4/00,0
8/4/00,5.4
9/4/00,1.4
10/4/00,0
11/4/00,0
12/4/00,0
13/04/2000,0
14/04/2000,0
15/04/2000,0.6
16/04/2000,4.6
17/04/2000,0
18/04/2000,0
19/04/2000,0
20/04/2000,0
21/04/2000,0
22/04/2000,0
23/04/2000,0
24/04/2000,0
25/04/2000,0
26/04/2000,0.6
27/04/2000,6.6
28/04/2000,0
29/04/2000,0
30/04/2000,0
1/5/00,0.2
2/5/00,0
3/5/00,0
4/5/00,0
5/5/00,0
6/5/00,0
7/5/00,27.2
8/5/00,1
9/5/00,2.2
10/5/00,14.8
11/5/00,0
12/5/00,0
13/05/2000,0
14/05/2000,0
15/05/2000,0
16/05/2000,0
17/05/2000,0
18/05/2000,0
19/05/2000,0
20/05/2000,0.2
21/05/2000,6
22/05/2000,0
23/05/2000,0
24/05/2000,0
25/05/2000,0
26/05/2000,0
27/05/2000,0
28/05/2000,0
29/05/2000,0
30/05/2000,0
31/05/2000,0
1/6/00,0
2/6/00,0
3/6/00,0
4/6/00,0
5/6/00,0
6/6/00,0
7/6/00,0
8/6/00,0
9/6/00,8.8
10/6/00,0.6
11/6/00,0
12/6/00,0
13/06/2000,0
14/06/2000,0
15/06/2000,0
16/06/2000,0
17/06/2000,0
18/06/2000,0
19/06/2000,0
20/06/2000,0
21/06/2000,0
22/06/2000,0
23/06/2000,0
24/06/2000,0
25/06/2000,0
26/06/2000,0
27/06/2000,0
28/06/2000,0
29/06/2000,0
30/06/2000,0
1/7/00,0
2/7/00,0
3/7/00,0
4/7/00,0
5/7/00,0
6/7/00,0
7/7/00,0
8/7/00,0
9/7/00,0
10/7/00,0
11/7/00,0
12/7/00,0
13/07/2000,0
14/07/2000,0
15/07/2000,0
16/07/2000,0.4
17/07/2000,0
18/07/2000,0
19/07/2000,0
20/07/2000,0
21/07/2000,0
22/07/2000,0
23/07/2000,1
24/07/2000,0
25/07/2000,0
26/07/2000,0
27/07/2000,0
28/07/2000,0
29/07/2000,0
30/07/2000,0
31/07/2000,0
1/8/00,0
2/8/00,0
3/8/00,0
4/8/00,0
5/8/00,0
6/8/00,0
7/8/00,0
8/8/00,0
9/8/00,0
10/8/00,0
11/8/00,0
12/8/00,0
13/08/2000,0
14/08/2000,0
15/08/2000,0
16/08/2000,0
17/08/2000,0
18/08/2000,0
19/08/2000,0
20/08/2000,0
21/08/2000,0
22/08/2000,0
23/08/2000,0
24/08/2000,0
25/08/2000,0
26/08/2000,0
27/08/2000,0.2
28/08/2000,1.6
29/08/2000,0
30/08/2000,4.2
31/08/2000,0
1/9/00,0
2/9/00,0
3/9/00,0
4/9/00,0
5/9/00,0
6/9/00,0
7/9/00,0
8/9/00,0
9/9/00,0
10/9/00,0
11/9/00,0
12/9/00,0
13/09/2000,0
14/09/2000,0
15/09/2000,0
16/09/2000,0
17/09/2000,0
18/09/2000,0
19/09/2000,0
20/09/2000,0
21/09/2000,0
22/09/2000,0
23/09/2000,0
24/09/2000,0
25/09/2000,0
26/09/2000,2.6
27/09/2000,0
28/09/2000,0.2
29/09/2000,0
30/09/2000,0
1/10/00,0
2/10/00,0
3/10/00,0
4/10/00,0
5/10/00,0
6/10/00,0
7/10/00,0
8/10/00,0
9/10/00,0
10/10/00,0
11/10/00,0.4
12/10/00,2
13/10/2000,0
14/10/2000,0
15/10/2000,0
16/10/2000,0
17/10/2000,0
18/10/2000,0
19/10/2000,0
20/10/2000,0
21/10/2000,0
22/10/2000,260
23/10/2000,72
24/10/2000,60.4
25/10/2000,7
26/10/2000,0
27/10/2000,0.2
28/10/2000,0
29/10/2000,0
30/10/2000,0.2
31/10/2000,0
1/11/00,0
2/11/00,0
3/11/00,0
4/11/00,0
5/11/00,0.4
6/11/00,0.2
7/11/00,0
8/11/00,0
9/11/00,0
10/11/00,0
11/11/00,0
12/11/00,0
13/11/2000,0
14/11/2000,0
15/11/2000,0
16/11/2000,0
17/11/2000,0
18/11/2000,0
19/11/2000,0
20/11/2000,0
21/11/2000,0
22/11/2000,0
23/11/2000,1
24/11/2000,0
25/11/2000,0
26/11/2000,0
27/11/2000,0
28/11/2000,0
29/11/2000,0.4
30/11/2000,0
1/12/00,0
2/12/00,0
3/12/00,0
4/12/00,0
5/12/00,0
6/12/00,3.4
7/12/00,0.4
8/12/00,0
9/12/00,0
10/12/00,0
11/12/00,0
12/12/00,0
13/12/2000,0
14/12/2000,0
15/12/2000,0
16/12/2000,0
17/12/2000,0
18/12/2000,0
19/12/2000,0
20/12/2000,7.4
21/12/2000,0
22/12/2000,6.8
23/12/2000,0.4
24/12/2000,4.8
25/12/2000,1
26/12/2000,1.6
27/12/2000,0
28/12/2000,2
29/12/2000,0
30/12/2000,9.6
31/12/2000,0
1/1/01,0
2/1/01,0
3/1/01,0
4/1/01,0
5/1/01,0
6/1/01,0
7/1/01,0
8/1/01,0
9/1/01,0
10/1/01,0
11/1/01,0
12/1/01,56.6
13/01/2001,0.2
14/01/2001,0.2
15/01/2001,0.2
16/01/2001,0
17/01/2001,0
18/01/2001,1.4
19/01/2001,0
20/01/2001,0
21/01/2001,0
22/01/2001,0
23/01/2001,0
24/01/2001,0
25/01/2001,0
26/01/2001,0
27/01/2001,2.4
28/01/2001,0.6
