,X1,X2,X3,Y
0,0.37,0.03,0.64,0.21
1,0.95,0.64,0.08,3.41
2,0.73,0.31,0.16,3.3
3,0.6,0.51,0.9,2.15
4,0.16,0.91,0.61,1.43
5,0.16,0.25,0.01,1.15
6,0.06,0.41,0.1,0.92
7,0.87,0.76,0.66,3.79
8,0.6,0.23,0.01,1.48
9,0.71,0.08,0.16,1.44
10,0.02,0.29,0.55,0.61
11,0.97,0.16,0.69,2.16
12,0.83,0.93,0.65,3.2
13,0.21,0.81,0.22,2.46
14,0.18,0.63,0.71,1.3
15,0.18,0.87,0.24,2.4
16,0.3,0.8,0.33,3.55
17,0.52,0.19,0.75,1.06
18,0.43,0.89,0.65,2.25
19,0.29,0.54,0.85,1.81
20,0.61,0.81,0.66,4.05
21,0.14,0.9,0.57,2.93
22,0.29,0.32,0.09,0.69
23,0.37,0.11,0.37,0.46
24,0.46,0.23,0.27,1.97
25,0.79,0.43,0.24,2.28
26,0.2,0.82,0.97,2.11
27,0.51,0.86,0.39,3.6
28,0.59,0.01,0.89,-0.14
29,0.05,0.51,0.63,0.97
30,0.61,0.42,0.79,0.07
31,0.17,0.22,0.5,-0.01
32,0.07,0.12,0.58,-0.21
33,0.95,0.34,0.49,1.81
34,0.97,0.94,0.2,5.38
35,0.81,0.32,0.72,1.14
36,0.3,0.52,0.28,1.66
37,0.1,0.7,0.02,2.35
38,0.68,0.36,0.65,2.51
39,0.44,0.97,0.18,2.89
40,0.12,0.96,0.94,2.76
41,0.5,0.25,0.95,0.81
42,0.03,0.5,0.91,0.16
43,0.91,0.3,0.37,2.58
44,0.26,0.28,0.02,1.44
45,0.66,0.04,0.93,0.21
46,0.31,0.61,0.43,2.05
47,0.52,0.5,0.97,1.38
48,0.55,0.05,0.96,0.35
49,0.18,0.28,0.85,0.68
50,0.97,0.91,0.29,5.17
51,0.78,0.24,0.39,1.27
52,0.94,0.14,0.85,2.52
53,0.89,0.49,0.32,1.95
54,0.6,0.99,0.17,3.92
55,0.92,0.24,0.56,2.29
56,0.09,0.67,0.94,1.39
57,0.2,0.76,0.7,1.67
58,0.05,0.24,0.57,0.15
59,0.33,0.73,0.1,2.5
60,0.39,0.37,0.62,0.98
61,0.27,0.63,0.99,1.86
62,0.83,0.63,0.14,3.59
63,0.36,0.54,0.52,1.47
64,0.28,0.09,0.88,0.4
65,0.54,0.84,0.74,3.01
66,0.14,0.32,0.7,0.95
67,0.8,0.19,0.7,1.78
68,0.07,0.04,0.36,-0.51
69,0.99,0.59,0.29,3.18
70,0.77,0.68,0.81,3.14
71,0.2,0.02,0.81,-0.04
72,0.01,0.51,0.87,0.67
73,0.82,0.23,0.91,1.48
74,0.71,0.65,0.51,3.5
75,0.73,0.17,0.5,1.17
76,0.77,0.69,0.8,3.08
77,0.07,0.39,0.65,0.56
78,0.36,0.94,0.7,2.73
79,0.12,0.14,0.8,0.41
80,0.86,0.34,0.89,2.26
81,0.62,0.11,0.34,1.64
82,0.33,0.92,0.38,3.69
83,0.06,0.88,0.09,2.68
84,0.31,0.26,0.58,1.16
85,0.33,0.66,0.04,2.44
86,0.73,0.82,0.47,3.61
87,0.64,0.56,0.54,2.35
88,0.89,0.53,0.29,3.13
89,0.47,0.24,0.59,1.37
90,0.12,0.09,0.03,0.07
91,0.71,0.9,0.04,5.13
92,0.76,0.9,0.82,2.9
93,0.56,0.63,0.36,2.04
94,0.77,0.34,0.13,3.01
95,0.49,0.35,0.52,1.91
96,0.52,0.73,0.77,2.77
97,0.43,0.9,0.22,3.65
98,0.03,0.89,0.62,2.1
99,0.11,0.78,0.09,2.02
